,type,start,duration,timeline,filepath,word_idx,text,end,token,pos,dep,stop,sentence_id,language,study,subject,frequency,offset,context,sentence,sentence_char
0,Sound,0.0,1800.0,Zada2025_subject-sub-01,/lustre/fsn1/projects/rech/dab/uzz43va/neurodatasets/Podcast/ds005574/stimuli/podcast.wav,,,,,,,1800.0,,,Zada2025,Zada2025/sub-01,44100.0,0.0,,,
1,Ieeg,0.0,1799.998046875,Zada2025_subject-sub-01,method:_load_raw?timeline=Zada2025_subject-sub-01,,,,,,,1799.998046875,,,Zada2025,Zada2025/sub-01,512.0,,,,
2,Word,3.71,0.08,Zada2025_subject-sub-01,,0.0,act,3.79,Act,NNP,ROOT,3.79,1.0,english,Zada2025,Zada2025/sub-01,,,,,
3,Phoneme,3.71,0.029999999999999805,Zada2025_subject-01,,,æ,,,,,,,,,,,,,,
4,Phoneme,3.7399999999999998,0.03000000000000025,Zada2025_subject-01,,,k,,,,,,,,,,,,,,
5,Phoneme,3.77,0.029999999999999805,Zada2025_subject-01,,,t,,,,,,,,,,,,,,
6,Phoneme,3.8,0.06000000000000005,Zada2025_subject-01,,,w,,,,,,,,,,,,,,
7,Phoneme,3.86,0.23999999999999977,Zada2025_subject-01,,,ɐ,,,,,,,,,,,,,,
8,Word,3.99,0.2000000000000001,Zada2025_subject-sub-01,,1.0,one,4.19,one,CD,nummod,4.19,1.0,english,Zada2025,Zada2025/sub-01,,,,,
9,Phoneme,4.1,0.1200000000000001,Zada2025_subject-01,,,n,,,,,,,,,,,,,,
10,Phoneme,4.22,0.41000000000000014,Zada2025_subject-01,,,,,,,,,,,,,,,,,
11,Phoneme,4.63,0.04999999999999982,Zada2025_subject-01,,,m,,,,,,,,,,,,,,
12,Word,4.651,0.2800000000000002,Zada2025_subject-sub-01,,2.0,monkey,4.931,monkey,NN,appos,4.931,1.0,english,Zada2025,Zada2025/sub-01,,,,,
13,Phoneme,4.68,0.040000000000000036,Zada2025_subject-01,,,ɐ,,,,,,,,,,,,,,
14,Phoneme,4.72,0.04999999999999982,Zada2025_subject-01,,,ɲ,,,,,,,,,,,,,,
15,Phoneme,4.77,0.07000000000000028,Zada2025_subject-01,,,c,,,,,,,,,,,,,,
16,Phoneme,4.84,0.04999999999999982,Zada2025_subject-01,,,i,,,,,,,,,,,,,,
17,Phoneme,4.89,0.08000000000000007,Zada2025_subject-01,,,ɪ,,,,,,,,,,,,,,
18,Word,4.951,0.0600000000000005,Zada2025_subject-sub-01,,3.0,in,5.011,in,IN,prep,5.011,1.0,english,Zada2025,Zada2025/sub-01,,,,,
19,Phoneme,4.97,0.040000000000000036,Zada2025_subject-01,,,n,,,,,,,,,,,,,,
20,Phoneme,5.01,0.03000000000000025,Zada2025_subject-01,,,d̪,,,,,,,,,,,,,,
21,Phoneme,5.04,0.040000000000000036,Zada2025_subject-01,,,ə,,,,,,,,,,,,,,
22,Word,5.051,0.0599999999999996,Zada2025_subject-sub-01,,4.0,the,5.111,the,DT,det,5.111,1.0,english,Zada2025,Zada2025/sub-01,,,,,
23,Phoneme,5.08,0.07000000000000028,Zada2025_subject-01,,,mʲ,,,,,,,,,,,,,,
24,Phoneme,5.15,0.08000000000000007,Zada2025_subject-01,,,ɪ,,,,,,,,,,,,,,
25,Word,5.151,0.2400000000000002,Zada2025_subject-sub-01,,5.0,middle,5.391,middle,NN,pobj,5.391,1.0,english,Zada2025,Zada2025/sub-01,,,,,
26,Phoneme,5.23,0.04999999999999982,Zada2025_subject-01,,,ɾ,,,,,,,,,,,,,,
27,Phoneme,5.28,0.11099999999999977,Zada2025_subject-01,,,ɫ̩,,,,,,,,,,,,,,
28,Word,6.592,0.1399999999999996,Zada2025_subject-sub-01,,6.0,so,6.731999999999999,So,RB,advmod,6.731999999999999,2.0,english,Zada2025,Zada2025/sub-01,,,,,
29,Phoneme,6.592,0.040000000000000036,Zada2025_subject-01,,,s,,,,,,,,,,,,,,
